date,close,open,high,low,amt,MA5,MA10,MA20,DIF,DEA,MACD,K,D,J,RSI,WR,WR1,BIAS1,BIAS2,BIAS3,PSY,PSYMA,CCI,ATR,BBI
20230117,"3,224.24","3,229.44","3,231.26","3,211.76",22.66,3194.486,3175.44,3126.244,23.77,12.08,23.379,84.04119245,85.02527404,82.07302927,61.175,19.116,27.692,1.063,1.925,2.977,75,69.444,123.8105752,29.289,3173.907042
20230118,"3,224.41","3,227.59","3,234.82","3,220.37",21.21,3207,3185.529,3133.776,26.234,14.911,22.646,80.33169152,83.46074654,74.07358148,61.191,22.255,27.519,0.779,1.569,2.916,75,70.833,119.2240676,27.7315,3183.318167
20230119,"3,240.28","3,221.52","3,240.28","3,210.38",22.65,3222.366,3194.035,3142.3695,29.131,17.755,22.752,83.11453042,83.34534116,82.65290893,62.72,11.142,11.32,0.863,1.738,3.325,75,72.222,115.0833776,27.964,3192.370917
20230120,"3,264.81","3,247.20","3,267.06","3,247.20",27.32,3236.266,3204.752,3152.8885,33.026,20.809,24.434,88.08315753,84.92461329,94.40024602,64.947,1.98,2.26,1.095,2.131,3.973,75,73.611,141.6227409,26.721,3205.548375
20230130,"3,269.32","3,308.87","3,310.49","3,266.76",35.33,3244.612,3214.076,3164.061,36.061,23.86,24.403,83.31946959,84.38956539,81.17927799,65.344,26.208,36.379,0.85,1.968,3.893,75,75,148.165639,27.4885,3217.544833
20230131,"3,255.67","3,266.14","3,277.25","3,252.01",30.02,3250.898,3222.692,3173.5665,36.939,26.476,20.927,77.24724883,82.0087932,67.72416008,63.087,34.897,54.76,0.284,1.285,3.21,66.667,73.611,97.34281336,27.452,3224.416
20230201,"3,284.92","3,262.20","3,284.92","3,245.41",33.95,3263,3235,3183.034,39.539,29.088,20.902,78.87029252,80.96262631,74.68562495,65.733,16.277,25.542,0.871,1.907,3.841,66.667,72.222,101.3077851,27.8015,3233.254542
20230202,"3,285.67","3,291.78","3,295.76","3,272.41",33.34,3272.078,3247.222,3192.9475,41.186,31.508,19.356,78.60299258,80.17608173,75.45681427,65.799,17.359,24.793,0.578,1.625,3.549,75,72.222,112.1585906,28.008,3242.067917
20230203,"3,263.41","3,275.66","3,275.66","3,235.35",29.33,3271.798,3254.032,3202.433,40.231,33.252,13.957,70.05923875,76.80380074,56.57011477,62.115,41.601,62.656,-0.221,0.673,2.555,75,72.222,55.29629808,29.377,3248.164083
20230206,"3,238.70","3,244.70","3,250.35","3,226.21",26.71,3265.674,3255.143,3209.905,37.053,34.013,6.081,56.13578658,69.91446268,28.57843436,58.333,71.711,85.18,-0.844,-0.282,1.548,66.667,70.833,9.025514909,30.1065,3246.660208
20230207,"3,248.09","3,245.23","3,250.03","3,233.83",25.09,3264.158,3257.528,3216.484,34.89,34.188,1.404,49.98004591,63.26965709,23.40082355,59.315,62.331,68.541,-0.449,-0.128,1.64,66.667,69.444,11.13152932,28.576,3245.388292
20230208,"3,232.11","3,251.50","3,257.11","3,230.44",23.45,3253.596,3258.298,3221.9135,31.523,33.655,-4.264,35.65352214,54.06427878,-1.167991123,56.931,78.294,91.517,-0.82,-0.631,0.949,58.333,68.056,-16.40744995,28.9275,3243.249833
20230209,"3,270.38","3,227.73","3,270.38","3,225.77",25.48,3250.538,3261.308,3227.6715,31.578,33.24,-3.322,41.32095055,49.8165027,24.32984625,60.862,47.344,36.262,0.43,0.427,1.884,66.667,68.056,20.71762702,29.3625,3247.68475
20230210,"3,260.67","3,266.44","3,269.99","3,247.23",26.06,3249.99,3260.894,3232.823,30.488,32.689,-4.403,44.16872248,47.93390929,36.63834884,59.426,58.805,30.046,0.26,0.036,1.356,58.333,65.278,28.20336977,29.575,3249.734708
20230213,"3,284.16","3,256.99","3,285.09","3,252.63",29.72,3259.082,3262.378,3238.227,31.159,32.383,-2.448,57.25454956,51.04078938,69.68206993,61.707,16.574,1.568,0.875,0.644,1.865,58.333,62.5,81.39519711,29.901,3257.201958
20230214,"3,293.28","3,288.97","3,293.73","3,279.19",27.1,3268.12,3266.139,3244.4155,32.058,32.318,-0.52,70.32191193,57.46783023,96.03007533,62.559,3.543,0.662,0.873,0.85,1.924,58.333,61.111,132.1643226,29.977,3263.524708
20230215,"3,280.49","3,294.01","3,296.20","3,274.55",26.99,3277.796,3265.696,3250.348,31.377,32.13,-1.507,72.77932943,62.5716633,93.19466169,60.585,22.306,22.306,0.315,0.429,1.364,50,58.333,91.57036686,29.866,3268.242208
20230216,"3,249.03","3,281.74","3,308.83","3,231.34",38.09,3273.526,3262.032,3254.627,27.975,31.299,-6.647,57.8541705,60.9991657,51.5641801,56.046,71.996,71.996,-0.732,-0.517,0.274,50,56.944,-7.549826831,32.831,3266.951125
20230217,"3,224.02","3,244.73","3,262.47","3,223.26",27.85,3266.196,3258.093,3256.0625,22.997,29.639,-13.283,38.86550091,53.62127743,9.353947862,52.767,99.112,99.112,-1.263,-1.129,-0.559,41.667,52.778,-118.2689469,33.1985,3258.337917
20230220,"3,290.34","3,230.47","3,291.04","3,225.84",32.5,3267.432,3263.257,3259.2,24.125,28.536,-8.822,52.04098721,53.09451403,49.93393357,59.349,21.608,21.608,0.615,0.893,1.329,41.667,50,32.90721018,33.7465,3261.276667
20230221,"3,306.52","3,291.63","3,308.79","3,282.44",32.44,3270.08,3269.1,3263.314,26.024,28.033,-4.019,67.12747673,57.77216826,85.83809366,60.741,2.7,2.7,0.995,1.277,1.639,50,48.611,142.1611565,34.089,3268.925792
20230222,"3,291.15","3,292.05","3,307.03","3,286.72",25.54,3272.212,3275.004,3266.651,25.989,27.625,-3.27,71.19783556,62.24739069,89.0987253,58.746,20.661,20.661,0.536,0.672,1.001,50,47.222,116.0621148,34.382,3276.358167
20230223,"3,287.48","3,293.52","3,307.44","3,275.36",26.23,3279.902,3276.714,3269.011,25.373,27.174,-3.602,72.48177935,65.65885358,86.1276309,58.269,24.95,24.95,0.389,0.459,0.77,41.667,45.833,82.29202303,34.491,3277.821708
20230224,"3,267.16","3,287.26","3,288.39","3,253.97",23.42,3288.53,3277.363,3269.1285,22.981,26.336,-6.71,65.42219516,65.57996744,65.10665059,55.659,48.697,48.673,-0.324,-0.251,0.096,41.667,44.444,2.79314436,34.873,3276.056708
20230227,"3,258.03","3,257.00","3,276.58","3,251.72",24.29,3282.068,3274.75,3268.564,20.116,25.092,-9.952,57.15926329,62.77306606,45.93165776,54.514,59.367,61.193,-0.774,-0.499,-0.226,33.333,43.056,-35.93766973,33.832,3274.315375
20230228,"3,279.61","3,265.74","3,280.42","3,246.14",25.16,3276.686,3273.383,3269.761,19.364,23.946,-9.165,60.057015,61.8677157,56.43561358,56.711,34.147,46.576,-0.062,0.112,0.364,41.667,43.056,-18.38664393,34.284,3273.906292
20230301,"3,312.35","3,279.14","3,315.16","3,272.04",31.84,3280.926,3276.569,3271.1325,21.165,23.39,-4.449,72.35211954,65.36251698,86.33132465,59.785,3.058,4.071,0.905,1.039,1.273,41.667,41.667,109.9474286,34.4645,3278.845208
20230302,"3,310.65","3,308.01","3,320.74","3,306.46",32.85,3285.56,3282.731,3272.3815,22.2,23.152,-1.904,78.0239982,69.58301072,94.90597316,59.555,10.351,13.525,0.754,0.943,1.162,33.333,38.889,136.9396488,34.011,3284.716833
20230303,"3,328.39","3,314.77","3,330.60","3,302.62",34.4,3297.806,3293.168,3275.6305,24.173,23.356,1.633,84.47712438,74.54771527,104.3359426,61.176,2.11,2.617,1.084,1.36,1.627,41.667,38.889,138.233198,32.894,3292.296583
20230306,"3,322.03","3,332.02","3,333.06","3,308.73",34.05,3310.606,3296.337,3279.797,24.936,23.672,2.527,85.42147301,78.17230119,99.91981666,60.272,12.69,12.69,0.611,0.979,1.348,41.667,38.889,118.2013165,32.2505,3297.951958
20230307,"3,285.10","3,320.21","3,342.86","3,284.41",39,3311.704,3294.195,3281.6475,22.303,23.398,-2.19,70.37472339,75.57310859,59.977953,55.323,59.719,59.719,-0.643,-0.297,0.221,41.667,40.278,54.5539927,34.363,3298.685833
20230308,"3,283.25","3,271.88","3,283.25","3,263.69",26.04,3305.884,3293.405,3284.2045,19.839,22.686,-5.695,59.70597771,70.28406496,38.54980321,55.086,61.632,75.294,-0.717,-0.336,0.167,33.333,38.889,-35.50760291,34.1,3295.567375
20230309,"3,276.09","3,285.94","3,289.06","3,260.00",26.4,3298.972,3292.266,3284.49,17.111,21.571,-8.921,50.12587651,63.56466881,23.24829191,54.152,69.034,80.582,-0.752,-0.476,-0.067,25,36.111,-59.07043435,33.3225,3289.665625
20230310,"3,230.08","3,255.51","3,262.15","3,229.50",28.11,3279.31,3288.558,3282.9605,11.108,19.479,-16.74,33.58779911,53.57237891,-6.381360484,48.619,99.488,99.488,-1.746,-1.722,-1.46,25,34.722,-162.9573842,34.4945,3280.068875
